#,Name,Location,Type,TypeExt,Index,Description
0.01,patient(+),0;1,POINTER,,B,This is the name of the patient.
488,organ/space ssi,205;37,SET OF CODES,,,"NSQIP Definition (2004): Organ/Space SSI is an infection that occurs within 30 days after the operation and the infection appears to be related to the operation and the infection involves any part of the anatomy (e.g., organs or spaces), other than the incision, which was opened or manipulated during an operation and at least one of the following: - Purulent drainage from a drain that is placed through a stab wound into the organ/space. - Organisms isolated from an aseptically obtained culture of fluid or tissue in the organ/space. - An abscess or other evidence of infection involving the organ/space that is found on direct examination, during reoperation, or by histopathologic or radiologic examination. - Diagnosis of an organ/space SSI by a surgeon or attending physician. Site-Specific Classifications of Organ/Space Surgical Site Infection -------------------------------------------------------------------- Arterial or venous infection Meningitis or ventriculitis Breast abscess or mastitis Myocarditis or pericarditis Disc space Oral cavity (mouth, tongue, or Ear, mastoid gums) Endocarditis Osteomyelitis Endometritis Other infections of the lower Eye, other than conjunctivitis respiratory tract (e.g. abscess Gastrointestinal tract or empyema) Intra-abdominal, not specified Other male or female reproductive elsewhere tract Intracranial, brain abscess or Sinusitis dura Spinal abscess without meningitis Joint or bursa Upper respiratory tract Mediastinitis Vaginal cuff"
489,other wound occurrence,205;38,POINTER,,,"NSQIP Definition (2004): Enter any other wound occurrences that you feel to be significant and that are not covered by the predefined wound occurrence categories. Enter the ICD-9-CM code for this entry. (Example: Seromas, ICD-9-CM code: 998.13)"
490,repeat ventilator w/in 30 days,209;12,BOOLEAN,,,"CICSP Definition (2004): Indicate if the patient was placed on ventilator support postoperatively for any reason within 30 days, AND this repeat ventilator support is related to the index operation AND occurred during the same admission in-hospital. (For example, the patient is on the ventilator intra-op and immediately post-op. Then patient is weaned and the ventilator is discontinued. Later, the patient gets into trouble and mechanical ventilation has to be reinstated.)"
491,other non-ct procedures,209.2;1,FREE TEXT,,,"CICSP Definition (2004): If any other procedure - other than cardiothoracic - performed requiring placing the patient on cardiopulmonary bypass, specify details into the comment field. If no other non-CT procedure requiring CPB was performed, indicate ""NS"" for ""No Study/Unknown"" in the text field."
492,preop funct. health status,200.1;2,SET OF CODES,,,"NSQIP Definition (2004): This is a question that focuses on the patient's abilities to perform activities of daily living (ADLs) in the 30 days prior to surgery. Activities of daily living are defined as 'the activities usually performed in the course of a normal day in a person's life'. ADLs include: bathing, feeding, dressing, toileting, and mobility. Report the corresponding level of self-care for activities of daily living demonstrated by this patient for the following two time points: (a) prior to the current illness, and (b) at the time the patient is being evaluated for surgery (which should be no longer than 30 days prior to surgery). If the patient's status changes prior to surgery, that change should be reflected in your assessment of (b). For each of these time points, report the level of functional health status as defined by the following criteria. (1) Independent: The patient does not require assistance from another person for any activities of daily living. This includes a person who is able to function independently with prosthetics, equipment, or devices. (2) Partially dependent: The patient requires some assistance from another person for activities of daily living. This includes a person who utilizes prosthetics, equipment, or devices but still requires some assistance from another person for ADLs. (3) Totally dependent: The patient requires total assistance for all activities of daily living. All patients with psychiatric illnesses should be evaluated for their ability to function with or without assistance with ADLs just as the non-psychiatric patient. For instance, if a patient with schizophrenia is able to care for him/herself without the assistance of nursing care, he/she is considered independent."
500,pfss account reference,PFSS;1,POINTER,,,This is the PFSS Account Reference number by which Surgery will reference an external account number for purposes of attaching charges for 1st or 3rd party billing.
901,airway index,.3;9,SET OF CODES,,,"This field describes the degree of difficulty of airway management on a scale of 1 to 5, 1 being least difficult and 5 being most difficult. The value of this field is based on a computed performance index using the oral-pharyngeal (OP) class and the mandibular space (MS). Performance index = 2.5 x OP - MS length (converted to centimeters) Airway Index ------------ 1 - Performance Index less than 0 2 - Performance index greater than 0 and less than 2 3 - Performance index greater than 2 and less than 3 4 - Performance index greater than 3 and less than 4 5 - Performance index greater than 4"
901.1,mallampati scale,.3;11,SET OF CODES,,,"NSQIP Definition (2004): The Mallampati classification relates tongue size to pharyngeal size. This test is performed with the patient in sitting position, the head held in a neutral position, the mouth wide open, and the tongue protruding to the maximum. The subsequent classification is assigned based upon the pharyngeal structures that are visible: Class I - visualization of the soft palate, fauces, uvula, and anterior and posterior pillars. Class II - visualization of the soft palate, fauces, and uvula. Class III - visualization of the soft palate and the base of the uvula. Class IV - soft palate is not visible at all. The classification assigned by the clinician may vary if the patient is in the supine position (instead of sitting). If the patient phonates, this falsely improves the view. If the patient arches his or her tongue, the uvula is falsely obscured. A class I view suggests ease of intubation and correlates with a laryngoscopic view grade I 99 to 100% of the time. Class IV view suggests a poor laryngoscopic view, grade III or IV 100% of the time. Refer to the Operations Manual for a visual depiction of the Mallampati Classification."
901.2,mandibular space,.3;12,NUMERIC,,,"In the sitting position with head extended, enter the distance between the inside of the mentum and the top of the thyroid cartilage in millimeters. The mandibular space (MS) and the oral-pharyngeal (OP) score are used in figuring a performance index which is translated to the patient's airway index. (Performance Index = 2.5 x OP - MS length in cm)"
903,death unrelated/related,.4;7,SET OF CODES,,,This indicates if death was unrelated to this surgery.
904,review of death comments,47;0,WORD-PROCESSING,,,This word processing field contains comments about the review of death.
905,ready to transmit?,.4;2,SET OF CODES,,,"This field is set to R (ready) by a MUMPS cross reference the TIME PAT OUT OR field. When this case is transmitted to the national database at the end of the quarter, this field will be updated to T (transmitted). This field serves as a flag that indicates the transmission status of this case."
